airport_id,name,city,country,iata,latitude,longitude
6187,Buon Ma Thuot Airport,Buonmethuot,Vietnam,BMV,12.668299675,108.120002747
6188,Cat Bi International Airport,Haiphong,Vietnam,HPH,20.81940078735352,106.7249984741211
6189,Cam Ranh Airport,Nha Trang,Vietnam,CXR,11.99820041656494,109.21900177001952
6190,Co Ong Airport,Conson,Vietnam,VCS,8.73183,106.633003
6191,Can Tho International Airport,Can Tho,Vietnam,VCA,10.085100174,105.711997986
6192,Dien Bien Phu Airport,Dienbienphu,Vietnam,DIN,21.3974990845,103.008003235
6193,Phu Cat Airport,Phucat,Vietnam,UIH,13.955,109.042
6194,Pleiku Airport,Pleiku,Vietnam,PXU,14.00450038909912,108.01699829101562
6195,Vinh Airport,Vinh,Vietnam,VII,18.7376003265,105.67099762
6203,Sumbawa Besar Airport,Sumbawa Island,Indonesia,SWQ,-8.48904037475586,117.41200256347656
6204,Tambolaka Airport,Waikabubak-Sumba Island,Indonesia,TMC,-9.40972,119.244003
6205,Bokondini Airport,Bokondini-Papua Island,Indonesia,BUI,-3.6822,138.6755
6206,Senggeh Airport,Senggeh-Papua Island,Indonesia,SEH,-3.45,140.779
6207,Tanjung Harapan Airport,Tanjung Selor-Borneo Island,Indonesia,TJS,2.83583333333,117.373611111
6208,Datadawai Airport,Datadawai-Borneo Island,Indonesia,DTD,0.8106,114.5306
6209,Kalimarau Airport,Tanjung Redep-Borneo Island,Indonesia,BEJ,2.1555,117.431999
6210,Warukin Airport,Tanjung-Borneo Island,Indonesia,TJG,-2.21655988693,115.435997009
6211,Sampit(Hasan) Airport,Sampit-Borneo Island,Indonesia,SMQ,-2.49919009209,112.974998474
6212,Dumatumbun Airport,Langgur-Kei Islands,Indonesia,LUV,-5.661620140075684,132.7310028076172
6213,Mali Airport,Alor Island,Indonesia,ARD,-8.132340431213379,124.59700012207033
6214,Belaga Airport,Belaga,Malaysia,BLG,2.65000009537,113.766998291
6215,Long Lellang Airport,Long Datih,Malaysia,LGL,3.42100000381,115.153999329
6216,Long Seridan Airport,Long Seridan,Malaysia,ODN,3.9670000076293945,115.0500030517578
6217,Mukah Airport,Mukah,Malaysia,MKM,2.90639,112.080002
6218,Bakalalan Airport,Bakalalan,Malaysia,BKM,3.973999977111816,115.61799621582033
6219,Lawas Airport,Lawas,Malaysia,LWY,4.84917,115.407997
6220,Bario Airport,Bario,Malaysia,BBN,3.7338900566101074,115.47899627685548
6221,Tomanggong Airport,Tomanggong,Malaysia,TMG,5.40257,118.65763
6222,Kudat Airport,Kudat,Malaysia,KUD,6.922500133514404,116.83599853515624
6223,Radin Inten II (Branti) Airport,Bandar Lampung-Sumatra Island,Indonesia,TKG,-5.240556,105.175556
6224,Halim Perdanakusuma International Airport,Jakarta,Indonesia,HLP,-6.266610145568848,106.89099884033205
6225,Ranai Airport,Ranai-Natuna Besar Island,Indonesia,NTX,3.90871,108.388
6226,Pangsuma Airport,Putussibau-Borneo Island,Indonesia,PSU,0.8355780243873596,112.93699645996094
6227,Sintang(Susilo) Airport,Sintang-Borneo Island,Indonesia,SQG,0.0636190026998519,111.4729995727539
6228,Pendopo Airport,Talang Gudang-Sumatra Island,Indonesia,PDO,-3.2860701084136963,103.87999725341795
6229,Malikus Saleh Airport,Lhok Seumawe-Sumatra Island,Indonesia,LSW,5.226679801940918,96.95030212402344
6230,Pulau Pangkor Airport,Pangkor Island,Malaysia,PKG,4.244719982147217,100.5530014038086
6232,Long Bawan Airport,Long Bawan-Borneo Island,Indonesia,LBW,3.9028,115.6921
6233,Nunukan Airport,Nunukan-Nunukan Island,Indonesia,NNX,4.13333333333,117.666666667
6234,Long Apung Airport,Long Apung-Borneo Island,Indonesia,LPU,1.704486,114.970297
6455,Berkley Structures Heliport,Pagerungan,Indonesia,\N,47.682043,-122.148456
6458,Anduki Airport,Seria,Brunei,\N,4.637000083920001,114.382003784
6726,Ormoc Airport,Ormoc City,Philippines,OMC,11.05799961090088,124.56500244140624
6733,Cauayan Airport,Cauayan,Philippines,CYZ,16.9298992157,121.752998352
6745,Tugdan Airport,Romblon,Philippines,TBH,12.3109998703,122.084999084
6769,Long Akah Airport,Long Akah,Malaysia,LKH,3.299999952316284,114.78299713134766
6787,Kalay Airport,Kalemyo,Myanmar,KMV,23.188800811767575,94.05110168457033
6791,Marinduque Airport,Gasan,Philippines,MRQ,13.361000061035156,121.82599639892578
6974,Siargao Airport,Siargao,Philippines,IAO,9.8591,126.014
7536,Tarempa Airport,Anambas Islands,Indonesia,MWK,3.3481199741363525,106.25800323486328
7559,Borongan Airport,Borongan,Philippines,\N,11.6743001938,125.478996277
7560,Lubang Airport,Lubang,Philippines,LBX,13.85540008544922,120.1050033569336
7700,Phan Rang Airport,Phan Rang,Vietnam,PHA,11.6335000992,108.952003479
7701,Na-San Airport,Son-La,Vietnam,SQH,21.21699905395508,104.03299713134766
