geonameid,name,asciiname,alternatenames,latitude,longtitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date
1632823,Pandeglang,Pandeglang,"Pandegelang,Pandeglang",-6.3084,106.1067,P,PPLA2,ID,,33,3601,,,92316,,253,Asia/Jakarta,2022-12-31
1632859,Pandaan,Pandaan,"Pandaan,Pandakara,Pandaän,Paodakan",-7.65268,112.6875,P,PPL,ID,,08,3514,,,34184,,196,Asia/Jakarta,2022-12-30
1632861,Pandak,Pandak,Pandak,-7.91306,110.29361,P,PPL,ID,,10,3402,,,56043,,34,Asia/Jakarta,2022-12-31
1632903,Panarukan,Panarukan,Panaroekan,-7.70181,113.91844,P,PPL,ID,,08,3512,,,30749,,9,Asia/Jakarta,2022-12-30
1632937,Pamulang,Pamulang,Pamulang,-6.34278,106.73833,P,PPL,ID,,30,,,,174557,,65,Asia/Jakarta,2018-12-04
1632974,Pameungpeuk,Pameungpeuk,Pameungpeuk,-7.01833,107.60389,P,PPL,ID,,30,3204,,,48294,,665,Asia/Jakarta,2022-12-31
1632978,Pamekasan,Pamekasan,"Pamekasan,Ramekasan",-7.1568,113.4746,P,PPLA2,ID,,08,3528,,,92447,,18,Asia/Jakarta,2022-12-31
1632998,Pamanukan,Pamanukan,"Pamanoekan,Pamanukan",-6.28417,107.81056,P,PPL,ID,,30,3213,,,114290,,10,Asia/Jakarta,2022-12-31
1633034,Palu,Palu,"Kabupaten Poso,Kota Palu,PLW,Pal,Paloe,Palu,Пал",-0.90833,119.87083,P,PPLA,ID,,21,7271,,,373218,,9,Asia/Makassar,2022-12-30
1633037,Palopo,Palopo,"LLO,Palopo,Paloppo,Wara",-2.9925,120.19694,P,PPL,ID,,38,7373,,,190867,,8,Asia/Makassar,2024-05-23
1633056,Palimanan,Palimanan,Palimanan,-6.70694,108.42417,P,PPL,ID,,30,3209,,,92600,,26,Asia/Jakarta,2022-12-31
1633070,Palembang,Palembang,"Kota Palembang,Kutha Palembang,PLM,Palembang,Palembangas,Palembanq,Palempan'nk,Palimbao,Palimbão,Palèmbang,Pelembang,Pelémbang,balymbanj,jiu gang,ju gang,pa lem bang,palembanga,pallembang,palmbang,palymbang,parenban,plmbʼng,Παλεμπάνγκ,Палембанг,פלמבאנג,باليمبانج,پالمبانگ,پالم‌بانگ,پالیمبانگ,पालेंबांग,ปาเล็มบัง,パレンバン,巨港,旧港,팔렘방",-2.91673,104.7458,P,PPLA,ID,,32,1671,,,1668848,,5,Asia/Jakarta,2026-01-15
1633118,Palangkaraya,Palangkaraya,"Kota Palangka Raya,PKY,Pahandoet,Pahandut,Palangka Raya,Palangkaraja,Palangkaraya,Palankaraja,Plangkaraja,pa lang ka la ya,Паланкарая,帕朗卡拉亚",-2.20833,113.91667,P,PPLA,ID,,13,6271,,,293500,,16,Asia/Pontianak,2022-12-31
1633182,Pakisaji,Pakisaji,"Pakisadji,Pakisadji l,Pakisaji",-8.0665,112.5981,P,PPLA3,ID,,08,3507,,,30213,,393,Asia/Jakarta,2022-12-31
1633308,Pagar Alam,Pagar Alam,"PXA,Pagar Alam,Pageralam",-4.02506,103.24694,P,PPLA3,ID,,32,1604,,,70386,,720,Asia/Jakarta,2016-06-12
1633375,Padangpanjang,Padangpanjang,"Padangpandjang,Padangpanjang,Pandangrandjang",-0.45602,100.40521,P,PPL,ID,,24,1374,,,58627,,824,Asia/Jakarta,2025-07-03
1633419,Padang,Padang,"Kota Padang,Kuta Padang,Kutha Padang,PDG,Padang,Padangas,Padango,ba dong,badangh,pa dang,padan,padang,padanga,padng  andwnzy,Паданг,بادانغ,پادانگ,پادنگ، اندونزی,پاڈانگ,पादांग,ปาดัง,パダン,巴東,파당",-0.94924,100.35427,P,PPLA,ID,,24,1371,,,909040,,6,Asia/Jakarta,2022-12-31
1633442,Paciran,Paciran,"Pachiran,Patjiran",-6.87666,112.37606,P,PPL,ID,,08,3524,,,27072,,5,Asia/Jakarta,2022-12-31
1633811,Nunukan,Nunukan,"NNX,Noenoekan,Nunukan Barat",4.13841,117.6507,P,PPL,ID,,42,,,,67006,,19,Asia/Makassar,2025-06-20
1633986,Ngunut,Ngunut,Ngoenoet,-8.1058,112.01591,P,PPL,ID,,08,3504,,,26297,,110,Asia/Jakarta,2022-12-31
1634010,Ngoro,Ngoro,Ngara,-7.68386,112.25804,P,PPL,ID,,08,3517,,,22871,,93,Asia/Jakarta,2022-12-30
1634098,Ngawi,Ngawi,Ngawi,-7.4038,111.4461,P,PPL,ID,,08,3521,,,22412,,57,Asia/Jakarta,2022-12-30
1634131,Nganjuk,Nganjuk,"Ngandjoek,Ngandjuk,Nganjuk",-7.6051,111.9035,P,PPLA2,ID,,08,3518,,,69011,,59,Asia/Jakarta,2022-12-30
1634266,Negara,Negara,,-8.35694,114.61694,P,PPL,ID,,02,5101,,,33191,,12,Asia/Makassar,2022-12-31
1634511,Namrole,Namrole,"NRE,Nam' Role,Namrole,Nam’ Role",-3.84548,126.72619,P,PPLA2,ID,,28,8109,,,21513,,13,Asia/Jayapura,2025-05-25
1634519,Namlea,Namlea,"NAM,Nam' Lea,Namlea,Nam’ Léa",-3.26194,127.09292,P,PPLA2,ID,,28,8104,,,37869,,34,Asia/Jayapura,2025-05-25
1634614,Nabire,Nabire,"NBX,Nabarie,Nabire",-3.35989,135.50074,P,PPLA,ID,,PT,9404,,,43898,,8,Asia/Jayapura,2022-12-31
1634678,Muntok,Muntok,"Mentok,Muntok",-2.06719,105.16228,P,PPLA2,ID,,35,1903,,,26709,,8,Asia/Jakarta,2022-12-31
1634680,Muntilan,Muntilan,"Moentilan,Muntilan",-7.58111,110.29278,P,PPL,ID,,07,3308,,,44859,,377,Asia/Jakarta,2022-12-31
1634718,Muncar,Muncar,"Moentjar,Muncar,Muntjar",-8.43333,114.33333,P,PPL,ID,,08,3510,,,64537,,6,Asia/Jakarta,2022-12-30
1634739,Mulia,Mulia,"LII,Mulia",-3.71472,137.98528,P,PPLA2,ID,,PT,9411,,,35884,,2106,Asia/Jayapura,2025-05-27
1634788,Muara Teweh,Muara Teweh,"HMS,MTW,Moearatewe,Moearateweh,Muara Teweh,Muaratawe,Muaratewa,Muaratewe,Muarateweh",-0.94734,114.8962,P,PPLA2,ID,,13,6205,,,46652,,31,Asia/Pontianak,2026-01-13
1634904,Muara Bungo,Muara Bungo,"BUU,Moearaboengo,Muara Bungo,Muarabungo",-1.49018,102.1149,P,PPLA2,ID,,05,1509,,,21243,,53,Asia/Jakarta,2023-02-09
1634954,Mranggen,Mranggen,Mranggen,-7.0268,110.5158,P,PPL,ID,,07,3321,,,28026,,20,Asia/Jakarta,2022-12-31
1635111,Mojokerto,Mojokerto,"Kota Mojokerto,Madjakerta,Modjokerto,Mojokerto",-7.4664,112.4338,P,PPL,ID,,08,3576,,,141785,,25,Asia/Jakarta,2024-05-23
1635116,Mojoagung,Mojoagung,"Madja agoeng,Madjaagung,Modjoagoeng,Modjoagung,Mojoangung",-7.56667,112.35,P,PPL,ID,,08,3517,,,23534,,37,Asia/Jakarta,2022-12-30
1635164,Mlonggo,Mlonggo,Mlonggo,-6.53333,110.7,P,PPL,ID,,07,3320,,,33542,,18,Asia/Jakarta,2022-12-31
1635283,Metro,Metro,"Kota Metro,Metra,Metro,Метро",-5.11306,105.30667,P,PPL,ID,,15,1872,,,178381,,62,Asia/Jakarta,2024-05-23
1635342,Mertoyudan,Mertoyudan,"Mertajoedan,Mertojoedan,Mertojudan,Mertoyudan",-7.52,110.22639,P,PPL,ID,,07,3308,,,69871,,351,Asia/Jakarta,2022-12-31
1635660,Melati,Melati,"Melati,Mlati",-7.73333,110.36667,P,PPL,ID,,10,3404,,,67090,,187,Asia/Jakarta,2022-12-31
1635815,Maumere,Maumere,"MOF,Maoemere,Maomere,Maumere,Mauniere,Маумере",-8.6199,122.2111,P,PPLA2,ID,,18,5310,,,87720,,18,Asia/Makassar,2023-02-08
1635882,Mataram,Mataram,"AMI,Kota Mataram,Kutha Mataram,Mataram,Mataram-Lombok,Mataramas,ma ta lan,matalam,mataram,mataramu,Матарам,ماتارام,ماٹارام,მატარამი,マタラム,馬塔蘭,마타람",-8.58333,116.11667,P,PPLA,ID,,17,5271,,,429651,,24,Asia/Makassar,2022-12-30
1635984,Masamba,Masamba,"MXB,Masamba,Masambe",-2.5537,120.3279,P,PPLA2,ID,,38,7322,,,38024,,42,Asia/Makassar,2023-02-09
1636022,Martapura,Martapura,"Martapoera,Martapura",-3.4109,114.8642,P,PPLA2,ID,,12,6303,,,131449,,6,Asia/Makassar,2022-12-31
1636029,Maros,Maros,"Maroesoe,Maros",-5.006,119.5727,P,PPLA2,ID,,38,7308,,,30000,,9,Asia/Makassar,2022-12-30
1636121,Margasari,Margasari,"Margasari,Margosari",-7.09484,109.025,P,PPLA3,ID,,07,3328,,,27814,,51,Asia/Jakarta,2022-12-31
1636125,Margahayukencana,Margahayukencana,"Margahajoe,Margahaju,Margahayu,Margahayukencana",-6.97083,107.5675,P,PPL,ID,,30,3204,,,83119,,668,Asia/Jakarta,2022-12-31
1636308,Manokwari,Manokwari,"Kabupaten Manokwari,Kutha Manokwari,MKW,Manokvari,Manokvaris,Manokwari,Menoekwari,man nuo wa li,manokuwari,manokwali,manwkwary,Маноквари,مانوكواري,مانوکواری,მანოკვარი,マノクワリ,曼諾瓦里,마노콰리",-0.86291,134.06402,P,PPLA,ID,,39,9105,,,107325,,15,Asia/Jayapura,2022-08-14
1636322,Manismata,Manismata,Manismata,-2.46667,111.03333,P,PPL,ID,,11,6106,,,18888,,29,Asia/Pontianak,2022-12-30
1636426,Manggar,Manggar,Manggar,-2.88333,108.26667,P,PPLA2,ID,,35,1906,,,39135,,2,Asia/Jakarta,2023-02-08
1636507,Mendaha,Mendaha,"Mandahara,Mendaha,Mendahara",-1.0163,103.59331,P,PPL,ID,,05,1506,,,56268,,5,Asia/Jakarta,2022-12-30
1636544,Manado,Manado,"Kota Manado,Kutha Manado,MDC,Manadas,Manado,Menado,ma na do,manado,manadw,wan ya lao,Манадо,مانادو,مناڈو,मानदो,มานาโด,マナド,万鸦老,萬鴉老,마나도",1.48218,124.84892,P,PPLA,ID,,31,7171,,,451916,,10,Asia/Makassar,2022-12-30
1636657,Malinau,Malinau,"Kabiran,LNU,Malinau,Malinau City",3.58855,116.62391,P,PPLA2,ID,,42,6501,,,25596,,5,Asia/Makassar,2023-02-09
1636722,Malang,Malang,"Kabupaten Malang,Kota Malang,Kutha Malang,MLG,Maland,Malang,ma lang,malangh,malangi,mallang,malng,maran,Маланг,مالانغ,مالنگ,მალანგი,マラン,瑪琅,말랑",-7.9797,112.6304,P,PPL,ID,,08,3573,,,847182,,452,Asia/Jakarta,2024-05-23
1636806,Majene,Majene,"Madjene,Majene",-3.5403,118.9707,P,PPLA2,ID,,41,7601,,,73883,,8,Asia/Makassar,2023-02-08
1636808,Majenang,Majenang,"Madjenang,Majenang",-7.2975,108.7642,P,PPLA3,ID,,07,3301,,,38897,,40,Asia/Jakarta,2022-12-31
1636816,Majalengka,Majalengka,"Madjalengka,Majalengka",-6.83611,108.22778,P,PPLA2,ID,,30,3210,,,73052,,126,Asia/Jakarta,2023-02-08
1636884,Magelang,Magelang,"Kota Magelang,Kutha Magelang,Magelang,ma ge lang,magelangi,maglang,Магеланг,ماگلانگ,მაგელანგი,馬格朗",-7.47056,110.21778,P,PPL,ID,,07,3371,,,121526,,379,Asia/Jakarta,2022-12-30
